cluster,song_artist
17,Couleurs by M83
18,Safety Dance by Dandi Wind
16,Blind - Radio Edit by Hercules & Love Affair
1,Why Cant we be Friends? by Trash Fashion
0,Untrust Us by Crystal Castles
19,Drama Queen by Switches
16,Sister Self Doubt by Get Shakes
16,Poor Innocent Boys by Cazals
5,Young Love (feat. Laura Marling) by Mystery Jets
5,Young Love (feat. Laura Marling) by Laura Marling
12,Two Doors Down by Mystery Jets
18,Lights & Music by Cut Copy
1,"Epic Last Song by Does It Offend You, Yeah?"
1,"Being Bad Feels Pretty Good by Does It Offend You, Yeah?"
16,"We Are Rockstars by Does It Offend You, Yeah?"
3,"Dawn of the Dead by Does It Offend You, Yeah?"
6,Black Flag by Duchess Says
10,We Own The Sky by M83
19,Kim & Jessie by M83
19,Graveyard girl by M83
18,On The Beat by Electrocute
10,Turn Tail by Young Knives
12,Like Knives by The Fashion
12,Anti Anti by Bonaparte
12,Vanished by Crystal Castles
16,Black Panther by Crystal Castles
3,No Sex for Ben by The Rapture
12,Odyle by Heloise & The Savoir Faire
19,Black Gloves - The Bloody Beetroots Remix by GOOSE
19,Black Gloves - The Bloody Beetroots Remix by The Bloody Beetroots
5,Forever by Walter Meego
6,Close To Me by I Was A Cub Scout
1,"Salt, Peppa and Spinderella by Johnny Foreigner"
16,Rich Girls by The Virgins
5,New in Town by Little Boots
1,Broken by Late of the Pier
15,Focker by Late of the Pier
14,Heartbeat - Cenzo Townshend Version by Late of the Pier
11,Black & Gold - Marcussen Album Version by Sam Sparro
6,Dita Dimoné by Pop Levi
1,Sophisticated Side Ponytail by Brite Futures
5,I'm Not Gonna Teach Your Boyfriend How to Dance with You by Black Kids
15,Strawberries by Boy Crisis
12,Love Me Already by Black Kids
5,Get Lucky by New Young Pony Club
3,That's Not My Name by The Ting Tings
3,Shut Up and Let Me Go by The Ting Tings
16,Into the Galaxy - Radio Version by Midnight Juggernauts
3,Strangers by Van She
3,Dream Cars by Neon Neon
11,On My Own by Cocknbullkid
6,UH by Fujiya & Miyagi
5,Block Rockin' Beats by The Chemical Brothers
5,All Stars by Grafton Primary
16,My Delirium by Ladyhawke
5,Live To Tell The Tale by Passion Pit
15,Play Your Part (Pt. 1) by Girl Talk
15,Shut The Club Down by Girl Talk
15,Still Here by Girl Talk
19,Laadeedaa by STRFKR
1,The Way We Were by XX Teens
11,Underwear by FM Belfast
12,This Sweet Love by James Yuill
1,Street Trash by TOBACCO
12,Around the Bend by The Asteroids Galaxy Tour
17,Never Hear Surf Music Again - Barfly Remix by Free Blood
5,Traumatology by Anavan
1,So Tomorrow by Official Secrets Act
12,Full Moon by The Black Ghosts
16,Salvation by Scanners
15,Silver Screen (Shower Scene) by Felix Da Housecat
5,Radar Detector by Darwin Deez
16,Paloma by We Are Wolves
10,Death by White Lies
5,15 to 20 - Radio Version by The Phenomenal Handclap Band
3,When I'm Small by Phantogram
5,"Something Bigger, Something Better by Amanda Blank"
3,Daylight by Matt and Kim
19,Fader by The Temper Trap
19,Love Lost by The Temper Trap
5,Deadbeat Summer by Neon Indian
6,Redline by Lazerhawk
0,Daniel by Bat For Lashes
0,Siren Song by Bat For Lashes
12,No You Girls by Franz Ferdinand
1,(You + Me) As Thick As Thieves by Bang! Bang! Eche!
19,This Rhythm by Filthy Dukes
0,The Girl and the Robot by Röyksopp
6,Röyksopp Forever by Röyksopp
1,1989 by The Rakes
19,Warp 1.9 (feat. Steve Aoki) by The Bloody Beetroots
19,Warp 1.9 (feat. Steve Aoki) by Steve Aoki
0,Help I'm Alive by Metric
1,Gold Guns Girls by Metric
5,Deli by Delorean
16,Headlock by Esser
5,Arrows Of Eros by Golden Silvers
19,Bad Choices by Shout Out Out Out Out
3,The Reeling by Passion Pit
5,1901 by Phoenix
18,Lisztomania by Phoenix
18,Zombie Lady by Minitel Rose
18,Underdog by Kasabian
10,Fire by Kasabian
5,Heavy Cross by Gossip
11,Pull My Heart Away by Jack Peñate
3,Raindrops by Basement Jaxx
1,Lessons Learned by Matt and Kim
5,Don't Slow Down by Matt and Kim
1,I Wanna by Matt and Kim
1,Swing Tree by Discovery
13,Always Like This by Bombay Bicycle Club
15,Osaka Loop Line by Discovery
13,Orange Shirt by Discovery
10,Sweet Disposition by The Temper Trap
19,Only If You Run by Julian Plenti
6,Drum Song by The Temper Trap
6,Feather by Little Dragon
5,Trojan Horse by Bloc Party
15,Ares by Bloc Party
1,Sticks 'N' Stones by Jamie T
18,Spirit of the Night by Tesla Boy
3,Warm Heart Of Africa by The Very Best
3,Warm Heart Of Africa by Ezra Koenig
5,She's Got Me Dancing by Tommy Sparks
1,Animator by Pull Tiger Tail
1,M.A.D by Hadouken!
16,Quit The Band by Starfucker
1,Dominos by The Big Pink
3,Never Forget You - US Album Version by Noisettes
4,Horses Can't Dance by Mickey Gang
16,Hold On by Holy Ghost
12,Bulletproof by La Roux
5,Too Fake by Hockey
12,Embrace The Martian (feat. Kid Cudi) by Crookers
12,Embrace The Martian (feat. Kid Cudi) by Kid Cudi
1,The Golden Age by The Asteroids Galaxy Tour
9,Gimme Sympathy by Metric
0,11th Dimension by Julian Casablancas
3,You’re A Jerk by Bang! Bang! Eche!
4,Comme ci comme ça - The Twelves Remix by Terry Poison
10,T.O.R.N.A.D.O by The Go! Team
3,Shooting Stars by Bag Raiders
12,Walking On A Dream by Empire of the Sun
12,We Are The People by Empire of the Sun
3,Hey You - Crystal Fighters Remix by Pony Pony Run Run
3,Arcade by Lone
5,Always More by autoKratz
3,At Home by Crystal Fighters
1,I Think I Like U 2 by Jamaica
0,Nightcall by Kavinsky
18,Young Blood by The Naked And Famous
5,Back and Forth by Operator Please
16,Under Control by Good Shoes
10,Self Machine - Coconut Candy ‘No Need For Plastic Palm Trees’ Elly Jackson Remix by I Blame Coco
10,Self Machine - Coconut Candy ‘No Need For Plastic Palm Trees’ Elly Jackson Remix by Elly Jackson
3,When I Grow Up - D. Lissvik Version by Fever Ray
3,When I Grow Up - D. Lissvik Version by D.Lissvik
8,If I Had a Heart by Fever Ray
10,Punching In A Dream by The Naked And Famous
10,Girls Like You by The Naked And Famous
11,Ambling Alp by Yeasayer
16,All Of This by The Naked And Famous
15,Talamak by Toro y Moi
0,Living In America by DoM
1,Red Paint by Matt and Kim
10,Play Together by Chew Lips
1,Cut The Biography by Help She Can't Swim
16,What You Know by Two Door Cinema Club
5,Something Good Can Work by Two Door Cinema Club
16,Undercover Martyn by Two Door Cinema Club
10,Just A Little Bit by Kids Of 88
12,Marlene by Lightspeed Champion
17,We Want War by These New Puritans
3,New Theory by Washed Out
0,Light It Up by Blood Red Shoes
1,Feel It All Around by Washed Out
5,Best In The Class by Late of the Pier
12,Lying Around by Cassette Kids
5,The High Road by Broken Bells
5,The Ghost Inside by Broken Bells
6,Fot i hose by Casiokids
0,Ready For The Fight by The Young Punx
3,Only Man by Audio Bullys
5,Odessa by Caribou
6,Forget Me Not by Thieves Like Us
19,Ooh La La by Goldfrapp
1,On Fire by Neon Plastix
3,Rill Rill by Sleigh Bells
0,Crown on the Ground by Sleigh Bells
6,Red Lights by Holy Fuck
17,Dance Yrself Clean by LCD Soundsystem
13,Psychic City - Classixx Remix by YACHT
13,Psychic City - Classixx Remix by Classixx
19,New Day by Teenagersintokyo
5,Sweatmother by TOBACCO
5,ADD SUV (feat. Pharrell Williams) by Uffie
4,Pop The Glock by Uffie
15,N'importe comment by The Toxic Avenger
15,N'importe comment by Orelsan
19,Can We Go Wrong by Hesta Prynn
16,Cold Dust Girl by Hey Champ
10,Nobody Gets Out Alive (Original) by Le Castle Vania
5,Holidays (feat. Alan Palomo) by Miami Horror
5,Holidays (feat. Alan Palomo) by Alan Palomo
5,Smash & Grab - Radio Edit by Burn The Negative
3,Bombay by El Guincho
3,Young Aren’t Young by The Hundred In The Hands
3,The Beatles by Shy Child
4,Take 'Em Up by Shit Robot
12,Crimewave by HEALTH
12,Crimewave by Crystal Castles
0,avec mes mecs by Humans
16,Spoiled Rich Bitches - Beat Torrent Version by Waxdolls
12,Climbing Walls by Strange Talk
5,Astro by Bitchee Bitchee Ya Ya Ya
16,Wild Birds by Minitel Rose
0,72 Virgins - The Bloody Beetroots Remix by Shitdisco
12,Always On the Run by Yuksek
1,Finale by Funeral Party
12,Apollo Throwdown (Star Slinger Remix) by The Go! Team
12,Default by Django Django
5,Easy by Tahiti 80
10,Surfacing by Chapel Club
0,Don't Move by Phantogram
16,Emergency Room by Ford & Lopatin
19,With You by Crystal Fighters
1,Lifeline by The Answering Machine
11,I <3 U SO by Cassius
6,New Beat by Toro y Moi
6,Black Diamonds by Teeel
6,Nights Off by Siriusmo
16,I Wrote the Book by Beth Ditto
10,Julius by STRFKR
1,"The Knife by Does It Offend You, Yeah?"
5,Bitte Bitte by Chikinki
12,Destroy Everything You Touch by Ladytron
10,Do It Again by Holy Ghost!
12,Everything Goes My Way by Metronomy
7,The Look by Metronomy
4,The Bay by Metronomy
0,Will Do by TV On The Radio
19,2 Hearts by Digitalism
0,Not In Love - Radio Version by Crystal Castles
0,Not In Love - Radio Version by Robert Smith
18,Baptism by Crystal Castles
18,Love in Motion (feat. Mayer Hawthorne) by SebastiAn
5,Future Starts Slow by The Kills
12,I Look to You by Miami Horror
12,I Look to You by Kimbra
0,Happy Winter by FM Belfast
19,Keep Up With You by Teenage Bad Girl
16,Like a Diamond by Tallinn Daggers
10,Fantasy by DyE
6,Blitz by Digitalism
16,Forrest Gump by Digitalism
18,Shells Of Silver by The Japanese Popstars
10,Forever Young - Original Mix by Joakim
5,Through My Eyes by Departure
16,The Phoenix Alive by Monarchy
5,Ritual Union by Little Dragon
18,Still Life by The Horrors
6,Want U by Lo-Fi-Fnk
5,Hits Me Like A Rock by CSS
5,Hits Me Like A Rock by Bobby Gillespie
5,Escapee by Architecture In Helsinki
1,Roman by Housse de Racket
3,Shuffle by Bombay Bicycle Club
16,Chains by Robots In Disguise
5,Days by The Drums
0,Money by The Drums
16,Polish Girl by Neon Indian
18,Balance by Future Islands
16,We Don't Need Money to Have a Good Time by The Subways
19,Afternoon by Youth Lagoon
8,17 by Youth Lagoon
0,I Follow Rivers - The Magician Remix by Lykke Li
0,I Follow Rivers - The Magician Remix by The Magician
5,Friends by Sneaky Sound System
19,Solar by Punk TV
5,Don't Fuck With My Money by Penguin Prison
0,Midnight City by M83
1,New Map by M83
0,Steve McQueen by M83
0,Civilization by Justice
10,On'n'On by Justice
1,Neutron Wireless Crystal by Swimming
3,Tell It To Me by Brite Futures
3,Movement by The Whip
6,Dub Cherie by New Young Pony Club
6,Dub Cherie by Tim Love Lee
5,Ce que tu veux de moi by We Are Enfant Terrible
3,Idea Of Happiness - Original by Van She
19,Rocksteady by The Bloody Beetroots
12,Heads Will Roll - A-Trak Remix by Yeah Yeah Yeahs
5,Let’s Go by Matt and Kim
1,Mean by Bloc Party
1,Drifting In And Out by Porcelain Raft
2,Tick of the Clock by Chromatics
3,All Of Me by Tanlines
12,Closer Than This by St. Lucia
19,Oblivion by Grimes
13,Bleed Bleed Bleed by Thieves Like Us
18,Maria Marie by Thieves Like Us
6,Sinful Nature by Bear In Heaven
19,Disparate Youth by Santigold
16,Mr Overtime by Punks Jump Up
16,Mr Overtime by Dave 1
12,Move in the Right Direction by Gossip
3,Fantasy by Tesla Boy
14,Tapes & Money by Totally Enormous Extinct Dinosaurs
10,Shine the Light by Reverend And The Makers
5,Saturday Night Ate Our Lives by Whitey
6,Where I’m Going by Cut Copy
1,Five Seconds by Twin Shadow
5,A New Drug by Digitalism
5,Carried Away by Passion Pit
0,Cry Like A Ghost by Passion Pit
10,Lofticries by Purity Ring
10,"Mystery Colors by Astronauts, etc."
12,Still Sound by Toro y Moi
5,Ghosts by The Presets
12,Golden Skans by Klaxons
3,You're Not the One - Original Mix by Kissy Sell Out
3,You're Not the One - Original Mix by The Queen of Hearts
3,Let it Go by Dragonette
19,All by Blackbird Blackbird
6,Restless by Betamaxx
5,Much Too Late by Matt and Kim
18,Now by Matt and Kim
5,Overexposed by Matt and Kim
10,Forever by Till Death
2,A Great Design by Black Marble
10,The Libertine by Patrick Wolf
3,Time to Dance - Original Version by The Shoes
1,Goran Ivanisevic by We Are The Physics
1,The Sun by Shiny Toy Guns
0,Somewhere to Hide by Shiny Toy Guns
5,Slow Motion Tag Team (Demo) by Natalie Portman's Shaved Head
1,Pogo - Radio Edit by Digitalism
1,Life's a Beach by Django Django
1,You'll Stay by Tom Vek
19,Second Summer - RAC Mix by YACHT
19,Second Summer - RAC Mix by RAC
13,Love by Coach Bombay feat. Elle Young
13,Love by Coach Bombay
13,Love by Elle Young
16,One Girl / One Boy by !!!
16,Heads Above by WhoMadeWho
12,Even When The Water's Cold by !!!
6,Ill Fit by Wave Machines
0,So Many Details by Toro y Moi
2,Rose Quartz by Toro y Moi
18,My Number by Foals
10,Redshift by Darwin Deez
16,While I'm Alive by STRFKR
19,Possession - Hissy Fit Remix by Humans
10,Starman by Sally Shapiro
10,Starman by Electric Youth
11,Attic Doctor by Youth Lagoon
19,Cirrus by Bonobo
16,My Little Brother by Art Brut
19,Maneki Neko by Miss Kittin
4,Cherry by Chromatics
13,Doin' it Right (feat. Panda Bear) by Daft Punk
13,Doin' it Right (feat. Panda Bear) by Panda Bear
19,Pizza Guy by Touch Sensitive
19,Truth - Digitalism Remix by Bloc Party
19,Truth - Digitalism Remix by Digitalism
5,You & I by Crystal Fighters
10,We Are Faster Than You by FM Belfast
10,Ways to Go by GROUPLOVE
10,Her Fantasy by Matthew Dear
10,Alive by Empire of the Sun
19,Logic by Sins
1,Hearts Like Ours by The Naked And Famous
0,Odd Look by Kavinsky
0,Odd Look by The Weeknd
17,Warm In The Winter by Glass Candy
10,I See I Say by Ebony Bones!
0,Love Hour Zero by DEMON QUEEN
5,El Camino 2 by DEMON QUEEN
18,It All Feels Right by Washed Out
3,Let Go by RAC
3,Let Go by Kele
3,Let Go by MNDR
16,Okay by Holy Ghost!
10,I Kill Giants by The Naked And Famous
0,Chronicles of a Fallen Love by The Bloody Beetroots
0,Chronicles of a Fallen Love by Greta Svabo Bech
19,Still On Fire by trentemøller
11,Electric Fist by Digitalism
5,Old Love / New Love by Twin Shadow
1,Change Of Coast by Neon Indian
1,Constant Conversations - Alternate Version by Passion Pit
4,Carried Away - Dillon Francis Remix by Passion Pit
3,It's Alright - Bonde Do Role Remix by Matt and Kim
1,MTWAH by Tommy Cash
1,MTWAH by ba.
1,MTWAH by Justicious
5,Bad Girls by M.I.A.
16,Footsteps by Cut Copy
16,Meet Me In A House Of Love by Cut Copy
0,Levitate by Hadouken!
5,Cheap Sunglasses by RAC
5,Cheap Sunglasses by Matthew Koma
5,Ello Ello by RAC
5,Ello Ello by Body Language
3,Tourist by RAC
3,Tourist by Tokyo Police Club
12,Choices by The Hoosiers
16,Dream a Little Crazy by Architecture In Helsinki
3,Hard to Beat by Hard-FI
10,Morning Sun by Strange Talk
1,Clap Your Bones by Vulkano
0,Choir of Wolves by Vulkano
10,Luna by Bombay Bicycle Club
1,Fall In Love by Phantogram
12,Embrace the Hope by The Sonic Boom Foundation
19,A Lone Boy by Tying Tiffany
0,No Rest for the Wicked by Lykke Li
0,I Never Learn by Lykke Li
19,Seasons (Waiting On You) by Future Islands
3,A Dream of You and Me by Future Islands
3,Written Down by David E. Sugar
1,Non Believer by FM Belfast
1,Call to Arms by Frankmusik
3,Someone by We Have Band
10,Let Me In - From The Fault in Our Stars Soundtrack by GROUPLOVE
16,Wolves by Digitalism
16,Wolves by Youngblood Hawke
3,Cast Away by Strange Talk
3,Eskimo Boy by Strange Talk
0,Falling In Love by Strange Talk
1,Picking Up All The Pieces by Strange Talk
16,Show me a Miracle by Klaxons
12,Jealous (I Ain't With It) by Chromeo
12,Come Alive (feat. Toro y Moi) by Chromeo
12,Come Alive (feat. Toro y Moi) by Toro y Moi
3,Old 45's by Chromeo
1,Father Sister Berzerker by TOBACCO
12,Finally We Arrive by The Sunshine Underground
5,Ppp by Delphic
0,Children of the Sun by Klaxons
1,Holding on for Life by Broken Bells
0,Sherman (Animals In The Jungle) by Tom Vek
10,Pushing Your Luck by Tom Vek
5,GUEZ WHOZ BAK by Tommy Cash
10,Lights Shine On by Cut Copy
19,In These Arms Of Love by Cut Copy
1,The Rules of Your Life by The Drums
4,Hurts Too Much by Cinnamon Chasers
4,All the Stars by Magistrates
19,"Caught In Time, So Far Away by You'll Never Get to Heaven"
0,Don't Tear Yourself Apart - Radio Edit by Zoot Woman
17,Born Slippy (Nuxx) by Underworld
16,Never Say Never by Basement Jaxx
1,I Can't Pretend by The Drums
1,Cheap Talk by Death From Above 1979
19,All The Rage Back Home by Interpol
0,Trainwreck 1979 - Moulder Mix with in/out fades by Death From Above 1979
7,Anthonio - Berlin Breakdown Version Remastered by Annie
18,Complètement fou by Yelle
18,Zombie by Jamie T
6,Garota by Erlend Øye
18,Can't Do Without You by Caribou
4,First Impressions by Kele
11,Wanderlust by Wild Beasts
3,Romance by Monogram
12,Keep Your Lips Sealed by The Dø
16,Happy Idiot by TV On The Radio
0,Crawl by IS TROPICAL
18,Back Up by Spank Rock
18,The Scene Between by The Go! Team
12,Hey Now by Matt and Kim
5,Pay No Mind (feat. Passion Pit) by Madeon
5,Pay No Mind (feat. Passion Pit) by Passion Pit
5,Lifted Up (1985) by Passion Pit
3,Where the Sky Hangs by Passion Pit
3,Hoodie On by Matt and Kim
16,Second Chance by Digitalism
18,Utopia by Chicks On Speed
16,Real Slow by Miami Horror
16,Real Slow by Sarah Chernoff
4,Ember - Radio Edit by WhoMadeWho
3,Not Alone by Matt and Kim
10,Get It by Matt and Kim
5,Until We Can't (Let's Go) by Passion Pit
3,Greek Tragedy by The Wombats
5,Give Me a Try by The Wombats
3,Whole Life Story by Passion Pit
4,Let's Get Slow by Aeroplane
4,Let's Get Slow by Benjamin Diamond
5,Show Me the Way by Penguin Prison
0,Slipping Away by Tanlines
18,L'Amour À Trois - 2015 Mix by Stereo Total
0,Tonight - Original Mix by South Central
0,Tonight - Original Mix by Qulinez
2,Playground Love (with Gordon Tracks) by Air
2,Playground Love (with Gordon Tracks) by Gordon Tracks
10,Let the Night Fall by Dragonette
3,Swingin Party by Kindness
10,Sleep When We Die by Kenna
0,Shyness by Thieves Like Us
12,Mountain at My Gates by Foals
0,Birch Tree by Foals
17,A Simple Design by The Juan Maclean
0,Vortex of Love by The Shoes
0,Vortex of Love by Blaine Harrison
10,Ocean of Night by Editors
16,Deceptacon by Le Tigre
12,Ch-Ching by Chairlift
5,Annie by Neon Indian
12,In Your Heaven by Sam Sparro
19,Need You Now by Hot Chip
1,Flesh without Blood by Grimes
1,Borders by M.I.A.
16,Hand in the Fire (feat. Charli XCX) by Mr. Oizo
16,Hand in the Fire (feat. Charli XCX) by Charli XCX
12,Friend Inside by Bag Raiders
19,Deepfreeze by I Wear* Experiment
6,The Critic by Brazilian Girls
3,Moth to the Flame by Chairlift
13,Lose Control - Kish Mauve Extended Remix by Kish Mauve
4,Over It by Junior Boys
12,Arrested by Breakbot
0,Under Your Skin by Grum
0,Under Your Skin by Rothchild
19,Star Tripper by Breakbot
16,Control by Chase & Status
16,Control by SOFT PLAY
16,Distant Past by Everything Everything
11,Can't Get Enough of Myself (feat. BC Unidos) by Santigold
11,Can't Get Enough of Myself (feat. BC Unidos) by BC Unidos
5,Chasing Shadows by Santigold
3,Doing It To Death by The Kills
11,Silly Me by Yeasayer
10,Make Me Fall In Love (Tiga vs. Audion Pop Version) - Extended Mix by Tiga
18,The Ism by Digitalism
3,What You Talking About? by Peter Bjorn and John
0,I Ain't Over You by Sneaky Sound System
0,Buckle by We Are Scientists
4,Breakin' Point by Peter Bjorn and John
3,Wishful Thinking by Moving Units
0,I Am Chemistry by Yeasayer
3,The Missing by Cassius
3,The Missing by Ryan Tedder
3,The Missing by JAW
17,Diamond Island by The Golden Filter
6,Shadows by Midnight Juggernauts
1,Heart vs. The Machine by Heartsrevolution
1,Gwendoline by Housse de Racket
12,Destitute Time by Delorean
16,I Want I Want by Digitalism
6,Stock Exchange by Miss Kittin
6,Stock Exchange by The Hacker
3,Rock'n Roll by Espanto
5,Criss Cross by Shy Child
16,Euro Trash Girl by Chicks On Speed
6,Listen Up! - MSTRKRFT Remix by Gossip
6,Listen Up! - MSTRKRFT Remix by MSTRKRFT
12,Last Call by Brazilian Girls
1,Love Is Dead by The Lovemakers
3,Living in America by The Sounds
16,Major Tom (Coming Home) - Adam K & Soha Radio Edit by Shiny Toy Guns
5,Drown Around Me by Telepathe
0,Dance The Way I Feel - Armand van Helden Club Mix by Ou Est Le Swimming Pool
5,Skitzo Dancer - Justice Remix by Scenario Rock
19,Heartbreaker - Laidback Luke Remix by MSTRKRFT
19,Heartbreaker - Laidback Luke Remix by JFK
19,Heartbreaker - Laidback Luke Remix by AL P
19,Heartbreaker - Laidback Luke Remix by John Legend
19,Heartbreaker - Laidback Luke Remix by Laidback Luke
1,Monster by You Say Party! We Say Die!
19,Symphonies - Dan Black feat. Kid Cudi (UN)(Instrumental) by DJ ReDo
0,Sometimes by Miami Horror
18,Sad Sad City by Ghostland Observatory
6,Navy Light by Labyrinth Ear
5,Take Me Over by Cut Copy
0,The Best Thing by Electric Youth
10,Colours In The Sky by Miami Horror
10,Colours In The Sky by Cleopold
4,Cream on Chrome by Ratatat
19,Elephant - Todd Rundgren Remix by Tame Impala
19,Elephant - Todd Rundgren Remix by Todd Rundgren
7,In God's House by Bat For Lashes
6,Pacas De A Kilo by Titan
5,Missy Queen´s Gonna Die by Toktok & Soffy O
0,Never Be Alone by Simian
1,Grey Day by Zoot Woman
16,Future by Cut Copy
3,All This Love by The Similou
3,All This Love by Joel Eriksson
3,All This Love by Erik Niklasson
0,Vindictive-Disco by Campag Velocet
1,Ecstasy by zZz
15,Circle Square Triangle by Test Icicles
3,Computer Camp Love by Datarock
1,I Ain't Saying My Goodbyes - Live from London (iTunes exclusive) by Tom Vek
6,To The Music by Colder
16,Sex City by Van She
1,Lowlife by Scanners
10,Goods (All In Your Head) by Mates of State
3,Anti-Anti by Snowden
16,Easy Love by MSTRKRFT
3,Valentine by Delays
3,Rock number one (Original version) by Cassius
5,First Gear by The Rapture
6,Walkman - Single Version by SebastiAn
12,Brain Leech by Alex Gopher
0,As Above So Below by Klaxons
1,We Danced Together by The Rakes
