artist,song
Noah Kahan & Post Malone,Dial Drunk
Dolly Parton,Don't Let the Sun Go Down On Me (feat. Elton John)
HARDY,TRUCK BED
Trans-Siberian Orchestra,Wizards in Winter (Instrumental)
Sia,Unstoppable
Rema & Selena Gomez,Calm Down
Lainey Wilson,Watermelon Moonshine
Dolly Parton,(I Can't Get No) Satisfaction (feat. P!nk & Brandi Carlile)
Dolly Parton & Kenny Rogers,Islands In the Stream
Bing Crosby,White Christmas
Alvin & The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)
Taylor Swift,Style (Taylor's Version)
Carrie Underwood,Stretchy Pants
Olivia Rodrigo,Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)
Drew Holcomb & The Neighbors,Find Your People (Acoustic)
Taylor Swift,Look What You Made Me Do
Taylor Swift,You Belong With Me (Taylor’s Version)
Taylor Swift,Blank Space (Taylor's Version)
Jelly Roll,Son Of A Sinner
"USHER, Summer Walker & 21 Savage",Good Good
Max McNown,A Lot More Free
Trans-Siberian Orchestra,A Mad Russian's Christmas (Instrumental)
Tate McRae,exes
Dolly Parton,Heart of Glass (feat. Debbie Harry)
Drake,Evil Ways (feat. J. Cole)
blink-182,ONE MORE TIME
Lauren Daigle,Thank God I Do
The Weeknd,Blinding Lights
Chubby Checker,The Twist
Santana Featuring Rob Thomas,Smooth
Bobby Darin,Mack The Knife
Mark Ronson Featuring Bruno Mars,Uptown Funk!
LeAnn Rimes,How Do I Live
LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem
The Black Eyed Peas,I Gotta Feeling
Los Del Rio,Macarena (Bayside Boys Mix)
Ed Sheeran,Shape Of You
Olivia Newton-John,Physical
Debby Boone,You Light Up My Life
The Beatles,Hey Jude
The Chainsmokers Featuring Halsey,Closer
Mariah Carey,We Belong Together
Toni Braxton,Un-Break My Heart
Usher Featuring Lil Jon & Ludacris,Yeah!
Kim Carnes,Bette Davis Eyes
Post Malone,Circles
Diana Ross & Lionel Richie,Endless Love
Rod Stewart,Tonight's The Night (Gonna Be Alright)
Jewel,Foolish Games/You Were Meant For Me
Bryan Adams,(Everything I Do) I Do It For You
Boyz II Men,I'Ll Make Love To You
Percy Faith And His Orchestra,"The Theme From ""A Summer Place"""
Chic,Le Freak
Bee Gees,How Deep Is Your Love
Survivor,Eye Of The Tiger
Rihanna Featuring Calvin Harris,We Found Love
Maroon 5 Featuring Cardi B,Girls Like You
Flo Rida Featuring T-Pain,Low
Dua Lipa,Levitating
Andy Gibb,I Just Want To Be Your Everything
Next,Too Close
The Police,Every Breath You Take
Gotye Featuring Kimbra,Somebody That I Used To Know
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito
Irene Cara,Flashdance...What A Feeling
Adele,Rolling In The Deep
Bobby Lewis,Tossin' And Turnin'
Lil Nas X Featuring Billy Ray Cyrus,Old Town Road
Johnny Horton,The Battle Of New Orleans
Mariah Carey & Boyz II Men,One Sweet Day
Savage Garden,Truly Madly Deeply
Wings,Silly Love Songs
Marvin Gaye,Let's Get It On
Bee Gees,Night Fever
Queen,Another One Bites The Dust
24kGoldn Featuring iann dior,Mood
Paul McCartney And Michael Jackson,Say Say Say
Nickelback,How You Remind Me
Dawn Featuring Tony Orlando,Tie A Yellow Ribbon Round The Ole Oak Tree
Tommy Edwards,It's All In The Game
The Beatles,I Want To Hold Your Hand
Andy Gibb,Shadow Dancing
Carly Rae Jepsen,Call Me Maybe
Robin Thicke Featuring T.I. + Pharrell,Blurred Lines
Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight
Alicia Keys,No One
Whitney Houston,I Will Always Love You
Boyz II Men,End Of The Road
Ed Sheeran,Perfect
The Black Eyed Peas,Boom Boom Pow
Blondie,Call Me
Mario,Let Me Love You
Bee Gees,Stayin' Alive
Kenny Rogers,Lady
Ke$ha,Tik Tok
The Monkees,I'm A Believer
Kanye West Featuring Jamie Foxx,Gold Digger
Timbaland Featuring OneRepublic,Apologize
Ace Of Base,The Sign
The J. Geils Band,Centerfold
Meghan Trainor,All About That Bass
Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)
John Lennon,(Just Like) Starting Over
Lorde,Royals
Brandy & Monica,The Boy Is Mine
Stevie B,Because I Love You (The Postman Song)
Joan Jett & The Blackhearts,I Love Rock 'N Roll
The 5th Dimension,Aquarius/Let The Sunshine In (The Flesh Failures)
Tag Team,Whoomp! (There It Is)
Drake,God's Plan
Maroon 5 Featuring Christina Aguilera,Moves Like Jagger
Paul McCartney And Stevie Wonder,Ebony And Ivory
Paula Abdul,Rush Rush
"Dionne & Friends Featuring Elton John, Gladys Knight And Stevie Wonder",That's What Friends Are For
Pharrell Williams,Happy
Diana Ross,Upside Down
The Archies,"Sugar, Sugar"
Bruno Mars,Just The Way You Are
Nelly Featuring Kelly Rowland,Dilemma
Marvin Gaye,I Heard It Through The Grapevine
Shania Twain,You're Still The One
Michael Jackson,Billie Jean
Donna Summer,Hot Stuff
Post Malone Featuring 21 Savage,Rockstar
Coolio Featuring L.V.,Gangsta's Paradise
The Steve Miller Band,Abracadabra
Carly Simon,You're So Vain
